label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.845454275608062744e-01,7.817828655242919922e-02,6.448800563812255859e-01,6.749902963638305664e-01,7.509795427322387695e-01
0.000000000000000000e+00,1.916999667882919312e-01,7.167285680770874023e-02,6.642820835113525391e-01,6.717894077301025391e-01,7.909919023513793945e-01
0.000000000000000000e+00,2.094751596450805664e-01,8.535672724246978760e-02,7.309351563453674316e-01,7.115175724029541016e-01,7.886970043182373047e-01
0.000000000000000000e+00,1.472778022289276123e-01,9.340755641460418701e-02,7.665706276893615723e-01,7.153183221817016602e-01,7.890356779098510742e-01
0.000000000000000000e+00,2.105546593666076660e-01,7.535955309867858887e-02,6.254159808158874512e-01,6.406036615371704102e-01,7.229354381561279297e-01
0.000000000000000000e+00,1.088687181472778320e-01,7.458201050758361816e-02,7.831369042396545410e-01,7.118305563926696777e-01,7.495877146720886230e-01
0.000000000000000000e+00,1.578039675951004028e-01,5.546282231807708740e-02,7.453165650367736816e-01,7.090936303138732910e-01,8.283639550209045410e-01
0.000000000000000000e+00,2.350511252880096436e-01,8.055116236209869385e-02,6.856899261474609375e-01,6.757197380065917969e-01,7.487381696701049805e-01
0.000000000000000000e+00,1.450479477643966675e-01,2.347627282142639160e-02,7.171668410301208496e-01,6.966952085494995117e-01,7.688540816307067871e-01
0.000000000000000000e+00,1.274791955947875977e-01,7.222452759742736816e-02,7.716902494430541992e-01,7.021127343177795410e-01,7.494275569915771484e-01
0.000000000000000000e+00,1.976433247327804565e-01,4.731932282447814941e-02,6.112595200538635254e-01,6.744441390037536621e-01,7.225468158721923828e-01
0.000000000000000000e+00,1.195149496197700500e-01,7.867094874382019043e-02,8.644164800643920898e-01,7.169906497001647949e-01,7.287411689758300781e-01
0.000000000000000000e+00,1.079589128494262695e-01,8.599224686622619629e-02,7.370811104774475098e-01,7.122845053672790527e-01,7.898446917533874512e-01
0.000000000000000000e+00,2.040759325027465820e-01,8.309823274612426758e-02,7.466770410537719727e-01,7.083164453506469727e-01,7.984083890914916992e-01
0.000000000000000000e+00,1.707481443881988525e-01,6.075474619865417480e-02,7.555590867996215820e-01,7.130131125450134277e-01,7.638199329376220703e-01
