Dataset,Method,Seed,Preprocess,New Clean,New ASR,Log Path
food101,BadCLIP,1,color0.90,90.00,95.70,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclip_color0.90_test_unseen.run.log
food101,BadCLIP,1,blur0.5,89.90,96.60,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclip_blur0.5_test_unseen.run.log
food101,BadCLIP,1,jpeg70,86.20,5.30,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclip_jpeg70_test_unseen.run.log
food101,BadCLIP,1,resize0.95,89.80,8.10,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclip_resize0.95_test_unseen.run.log
food101,BadCLIP,2,none,89.50,95.40,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclip_none_test_unseen.run.log
food101,BadCLIP,2,color0.90,89.40,96.00,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclip_color0.90_test_unseen.run.log
food101,BadCLIP,2,blur0.5,89.10,91.00,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclip_blur0.5_test_unseen.run.log
food101,BadCLIP,2,jpeg70,87.30,0.30,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclip_jpeg70_test_unseen.run.log
food101,BadCLIP,2,resize0.95,89.00,5.90,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclip_resize0.95_test_unseen.run.log
food101,BadCLIP,3,none,88.60,96.60,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclip_none_test_unseen.run.log
food101,BadCLIP,3,color0.90,88.60,93.60,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclip_color0.90_test_unseen.run.log
food101,BadCLIP,3,blur0.5,88.20,94.90,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclip_blur0.5_test_unseen.run.log
food101,BadCLIP,3,jpeg70,81.40,7.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclip_jpeg70_test_unseen.run.log
food101,BadCLIP,3,resize0.95,88.80,3.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclip_resize0.95_test_unseen.run.log
food101,BadClipMargin,1,none,90.40,99.70,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclipmargin_lm0.1_m5_none_test_unseen.run.log
food101,BadClipMargin,1,color0.90,90.00,98.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclipmargin_lm0.1_m5_color0.90_test_unseen.run.log
food101,BadClipMargin,1,blur0.5,89.80,99.40,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclipmargin_lm0.1_m5_blur0.5_test_unseen.run.log
food101,BadClipMargin,1,jpeg70,85.50,6.40,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclipmargin_lm0.1_m5_jpeg70_test_unseen.run.log
food101,BadClipMargin,1,resize0.95,89.90,8.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed1_badclipmargin_lm0.1_m5_resize0.95_test_unseen.run.log
food101,BadClipMargin,2,none,89.10,95.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclipmargin_lm0.1_m5_none_test_unseen.run.log
food101,BadClipMargin,2,color0.90,88.80,96.60,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclipmargin_lm0.1_m5_color0.90_test_unseen.run.log
food101,BadClipMargin,2,blur0.5,88.60,91.10,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclipmargin_lm0.1_m5_blur0.5_test_unseen.run.log
food101,BadClipMargin,2,jpeg70,87.00,0.40,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclipmargin_lm0.1_m5_jpeg70_test_unseen.run.log
food101,BadClipMargin,2,resize0.95,89.00,6.30,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed2_badclipmargin_lm0.1_m5_resize0.95_test_unseen.run.log
food101,BadClipMargin,3,none,88.20,98.80,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclipmargin_lm0.1_m5_none_test_unseen.run.log
food101,BadClipMargin,3,color0.90,88.10,97.50,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclipmargin_lm0.1_m5_color0.90_test_unseen.run.log
food101,BadClipMargin,3,blur0.5,87.60,98.60,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclipmargin_lm0.1_m5_blur0.5_test_unseen.run.log
food101,BadClipMargin,3,jpeg70,69.90,21.40,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclipmargin_lm0.1_m5_jpeg70_test_unseen.run.log
food101,BadClipMargin,3,resize0.95,87.60,8.30,analysis_notes/preprocess_robustness_3seeds_selected/food101_shot2_seed3_badclipmargin_lm0.1_m5_resize0.95_test_unseen.run.log
